Reg No,NC Type,Noncandidate Committee Name,Chairperson Name,Chair Occupation,Chair Principal Place of Business,Treasurer Name,Treasurer Occupation,Treasurer Principal Place of Business,"Area, Scope, or Jurisdiction",Political Party,Ballot Issue Description,Single Candidate Name,Terminated,Filing Date
NC20467,Standard,Sailor's Union of the Pacific Political Fund,"Lundeberg, Gunnar ",President,Sailors' Union of the Pacific,"Connolly, David ",Vice President,Sailors' Union of the Pacific,Labor Union,,,,N,10/27/2014
NC20282,Standard,Save Ewa Beach,"Ryan, Eric S. ",advertising + graphic design,"Honolulu, Hawaii","Ryan, Eric S. ",advertising + graphic design,"Honolulu, Hawaii",Other,,,,N,09/14/2010
NC20418,Independent Expenditure,Save Our Aloha State,"Steele, Michael L. ",Construction,"Hauula, HI","Kunz, Susan N. ",Supervisor,"Laie, HI",Independent Expenditure,,,,Y,03/01/2014
NC20316,Standard,Save Paradise ,"Sue, Steven ",Entrepreneur,"StoryManager, Inc.","Sandlin, Diane M. ",Certified Public Accountant,Diane M Sandlin CPA Inc.,Single Candidate,,,Ben Cayetano,Y,03/13/2012
NC20369,Independent Expenditure,SaveOurHonolulu.com,"Slater, Clifford David ",Retired,Retired,"Slater, Clifford David ",Retired,Retired,Independent Expenditure,,,,Y,10/02/2012
NC20147,Standard,Schlack Ito Lockwood Piper & Elkind ,"Schlack, Carl J. ",Member,"Honolulu, Hawaii","Ito, Mark F. ",Member,"Honolulu, Hawaii",Judicial / Legal,,,,Y,09/05/2008
NC20383,Standard,Seafarers Political Activity Donation - Seafarers International Union of NA-AGLIWD/NMU,"Heindel, David W. ",Secretary-Treasurer,Seafarers International Union of North America,"Plourde, Suzanne L. ",Admin Asst,Seafarers International Union of North America,Labor Union,,,,N,11/02/2012
NC20273,Standard,Searchlight Leadership Fund ,"Perry, David J. ",Executive Director ,"Washington, DC ","Perry, David J. ",Executive Director ,"Washington, DC ",Other,,,,Y,06/29/2010
NC20226,Standard,Searchlight Leadership Fund ,"Perry, David J. ",Executive Director,"Washington, DC","Perry, David J. ",Executive Director,"Washington, DC",Other,,,,Y,09/19/2008
NC20438,Standard,"Second & Peck Real Estate, LLC","Jencks, Charles George ",Real Estate,"Second & Peck Real Estate, LLC","Jencks, Charles George ",Real Estate,"Second & Peck Real Estate, LLC",Other,,,,Y,04/25/2014
NC20618,Standard,Sempra Energy,"Wright, Tommy ",Political Compliance Analyst,Southern California,"Wright, Tommy ",Political Compliance Analyst,Southern California,Energy / Utility,,,,N,06/22/2016
NC20150,Standard,Servco Pacific HI PAC,"Fukunaga, Eric ",Eexcutive,Servco Pacific Inc.,"Noyama, Terry ",Executive,Servco Pacific Inc.,Transportation,,,,N,09/03/2008
NC20148,Standard,Service Corporation International ,"Hughes, Caressa F. ",Managing Director,"Houston, TX","Hughes, Caressa F. ",Managing Director,"Houston, TX",Other,,,,Y,06/18/2008
NC20149,Standard,Service Corporation International PAC (SCI/PAC),"Hughes, Caressa F. ",Governmental Affairs Rep.,"Houston, Texas","Hughes, Caressa F. ",Governmental Affairs Rep.,"Houston, Texas",Other,,,,N,07/02/2008
NC20517,Standard,Seven Signatures International Corporation,"Nakano, Yoichiro ",CEO,HONOLULU,"Yokoi, Tsuyoshi ",ACCOUNTING,HONOLULU,Real Estate,,,,Y,10/23/2014
NC20151,Standard,Shioi Construction Noncandidate Committee ,"Murashige, Conrad H. ",President,"98-724 Kuahao Place, Pearl City, HI  96782","Yoshimoto, Sharon C. ",Assistant Treasurer,"4023 Halau Street, Lihue, HI  96766",Construction,,,,Y,06/10/2008
NC20628,Standard,"Shioi Construction, Inc.","Murashige, Conrad H. ",President,98-724 Kuahao Place,"Okamura, Gail ",Secretary,98-724 Kuahao Place,Construction,,,,N,07/21/2016
NC20152,Standard,SHOPO Political Committee,"Ma'afala, Tenari R. ",Police officer,Honolulu,"Smith, James M. ",Police Officer,Honolulu,Labor Union,,,,N,08/01/2008
NC20344,Independent Expenditure,Sierra Club Hawaii PAC,"Aalto, Anthony B. ",Director,Sierra Club,"Shih, Joy Leilei ",Student,University of Hawaii,Independent Expenditure,,,,Y,07/09/2012
NC20280,Standard,Sierra Club Hawaii PAC ,"Gill, Gary L. ",Program Director,Honolulu,"White, George O. ",Attorney,Honolulu,Environment / Natural Resource,,,,Y,09/11/2010
NC20354,Standard,"SJO and Associates, LLLC dba Law Office of Shelton G.W. Jim On ","Jim On, Shelton ",Attorney,"Honolulu, Hawaii","Jim On, Shelton ",Attorney,"Honolulu, Hawaii",Judicial / Legal,,,,Y,08/07/2012
NC20425,Standard,"Skydiving School, Inc.","Hinshaw, Frank ",Small business owner,Skydive Hawaii,"Hinshaw, Frank ",Small business owner,Skydive Hawaii,Other,,,,Y,04/14/2014
NC20385,Standard,"Slovin and Ito, LLP","Ito, Mihoko E. ",Attorney,Ashford & Wriston,"Ito, Mihoko E. ",Attorney,Ashford & Wriston,Other,,,,N,12/24/2012
NC20287,Ballot Issue,Smart Growth Hui ,"Hoshijo, Leonard ",Education Director,"Honolulu,  Hawaii","Chock, Kyle ",Executive Director,"Honolulu, Hawaii",Ballot Issue,,Transit Authority,,Y,10/04/2010
NC20306,Standard,Southern California Pipe Trades District Council No. 16 PAC ,"Layton, Mike ",Assistant Business Manager,Southern California Pipe Trades DC 16,"Layton, Mike ",Assistant Business Manager,Southern California Pipe Trades DC 16,Labor Union,,,,Y,10/31/2011
NC20364,Standard,Sphere LLC dba Pacific Aggregate ,"Wilderman, Lawrence E. ",Owner,"87-601 Paakea Road  Waianae, HI  96792","Wilderman, Lawrence E. ",Owner,Same,Other,,,,Y,09/17/2012
NC20168,Standard,Starwood Hawaii Political Action Committee,"Thomas, Thorp S. ","SVP, Associations and Legislative Affairs",Starwood Vacation Ownership,"Thomas, Thorp S. ","SVP, Associations and Legislative Affairs",Starwood Vacation Ownership,Real Estate,,,,Y,09/04/2008
NC20153,Standard,"Stoebner Holdings, Inc. Honda Windward","Stoebner, Morris L. ",President,Hawaii,"Kalahiki, Sandra D. ",Business Mgr,Honolulu,Transportation,,,,N,08/27/2008
NC20213,Ballot Issue,Stop Rail Now PAC ,"Slater, Cliff ",Retired,None,"Smith, Pam ",Accounting & Complliance Consultant,Ewa Beach,Ballot Issue,,Advocating NO vote on  Rail Question,,Y,09/05/2008
NC20611,Standard,Street Bikers United,"Paige, Bruce ",Lawyer,Hawaii,"Pagan, Ray ",Retired,Hawaii,Education,,,,N,06/09/2016
NC20393,Independent Expenditure,Student Network for Action and Progress,"Stump, Christopher J. ",student,University of Hawaii,"Agbannawag, Antonia L. ",student,University of Hawaii,Independent Expenditure,,,,Y,10/08/2013
NC20154,Standard,Subcontractors Association of Hawaii PAC,"Lyons, Timothy ",President,OAHU,"Lyons, Timothy ",Treasurer,OAHU,Construction,,,,N,08/27/2008
NC20189,Standard,Summerlin Life and Health Insurance Co. ,"Dyer, James D. ","Chairman of the Board, I/MX","Tempe, Arizona","Carter, Paul C. ",Treasurer and Chief Financial Officer,"Tempe, AZ",Insurance,,,,Y,10/06/2008
NC20409,Standard,Sunetric,"Winkelman, Russell D. ",Director of Finance and Procurement,Kailua,"Winkelman, Russell D. ",Director of Finance and Procurement,Kailua,Construction,,,,Y,01/23/2014
NC20548,Ballot Issue,Support Agriculture Coalition Committee,"Misalucha, Bennette E. ",Executive Director,Honolulu,"Misalucha, Bennette E. ",Executive Director,Honolulu,Ballot Issue,,Maui GMO Initiative,,Y,10/26/2014
NC20230,Ballot Issue,Support Rail Transit Association ,"Wilson, David ",Public Relations Professional,"McNeil Wilson Communications, Inc.","Wilson, David ",Public Relations Professional,"McNeil Wilson Communications, Inc.",Ballot Issue,,Rail Transit,,Y,10/31/2008
NC20436,Standard,"Syngenta Crop Protection, LLC","Hawkins, Vern ",President,North Carolina,"Neylon, Thomas J. ",NA Tax Director,Delaware,Agribusiness,,,,N,04/24/2014
NC20616,Standard,"Tamura Enterprises, Inc.","Matsumoto, Miles M. ",Accountant,Tamura's Wahiawa,"Matsumoto, Miles M. ",Accountant,Tamura's Wahiawa,Business / General Commerce,,,,Y,08/05/2016
NC20429,Standard,"Tamura Enterprises, Inc.","Tamura, Glenn K. ",President,"Tamura Enterprises, Inc.","Matsumoto, Miles M. ",VP/ Treasurer,"Tamura Enterprises, Inc.",Business / General Commerce,,,,Y,04/15/2014
NC20619,Standard,"Team Vision, LLC","Carapelho, Craig ",Advertising Agency Owner,Home Office,"Carapelho, Craig ",Advertising Agency Owner,Home Office,Technology,,,,Y,06/28/2016
NC20156,Standard,Tesoro Hawaii Noncandidate Committee,"Shintani, Susan K. ","Manager, Utility Fuel Sales","Kapolei, Hawaii","Shintani, Susan K. ","Manager, Utility Fuel Sales","Kapolei, Hawaii",Energy / Utility,,,,Y,09/05/2008
NC20536,Standard,"The Best Publishing & Distribution Co., LLC","Mesh, Mikel ",Self Employed,The Best Publishing & Distribution Co LLC,"Mesh, Mikel ",Self Employed,The Best Publishing & Distribution Co LLC,Other,,,,Y,10/15/2014
NC20244,Standard,The Dow AgroSciences LLC Employee Political Action Committee (AgPAC),"Ayers, Mary B. ",PAC Treasurer/Chair,"Zionsville, IN","Ayers, Mary B. ",PAC Treasurer,"Indianapolis, IN",Agribusiness,,,,N,11/03/2008
NC20299,Standard,The Honolulu Tea Party ,"King, Adrienne S. ",attorney,King & King 735 Bishop St. Honolulu 96813,"King, Samuel P. Jr.",attorney,King & King 735 Bishop St. Honolulu 96813,Other,,,,Y,03/28/2011
NC20398,Standard,The Kahala Hotel & Resort,"Fitzgerald, Ryan J. ",Hotel Manager,"Honolulu, Hawaii","Bascon, Stefa B. ",Controller,"Honolulu, hawaii",Tourism,,,,Y,11/07/2013
NC20437,Standard,The Maui Tropical Plantation,"Kawabata, Reid ",mgr,maui tropical plantation,"Kawabata, Reid ",mgr,maui tropical plantation,Agribusiness,,,,Y,04/25/2014
NC20219,Standard,Times Super Market ,"Quinn, John ",Retail grocer CEO/President,3375 Koapaka St. D-108,"Stout, Bob ",Retail grocer Director of Store Operations,3375 Koapaka St. D-108,Business / General Commerce,,,,Y,09/11/2008
NC20155,Standard,Torkildson Katz Moore Hetherington & Harris,"Hetherington, J. George ",Attorney,"Torkildson, Katz, Moore & Hetherington","Heller, Ronald I. ",Attorney,"Torkildson, Katz, Moore & Hetherington",Judicial / Legal,,,,N,08/29/2008
NC20559,Standard,"Tower Development, Inc.","Bushor, Edward ",Real Estate Developer,"1050 Bishop Street, Honolulu, HI 96813","Bushor, Teresa Lynn ",Accounting Manager,"270 N. El Camino Real, #F403, Encinitas, CA 92024",Real Estate,,,,Y,12/04/2014
NC20293,Standard,Transport Workers Union Political Contributions Committee,"Lombardo, Harry ",Director of Accounting,Transport Workers Union of America,"Garcia, Alex ",Director of Accounting,Transport Workers Union of America,Labor Union,,,,N,10/28/2010
NC20323,Standard,Trecker and Fritz ,"Fritz, Collin M. ",Attorney,-,"Fritz, Collin M. ",Attorney,-,Judicial / Legal,,,,Y,05/07/2012
NC20537,Standard,Trilogy Corporation dba Trilogy Excursions,"Coon, LiAnne S. ",DIRECTOR OF SALES & MARKETING,"LAHAINA, HI","Coon, LiAnne S. ",DIRECTOR OF SALES & MARKETING,"LAHAINA, HI",Tourism,,,,N,10/14/2014
NC20335,Standard,Trinity Investments LLC,"Hayashi, Kevin ",CFO,Honolulu,"Hayashi, Kevin ",CFO,Honolulu,Real Estate,,,,N,05/24/2012
NC20322,Standard,"Turtle Bay Resort, LLC ","Miller, R. Mike ",Board Member - Manager,"Seattle, Washington","Stotesbury, Drew ",Manager,"Kahuku, Hawaii",Tourism,,,,Y,04/13/2012
NC20371,Standard,"Turtle Bay Resort, LLC","Miller, R. Mike ",Board Member-Manager,"Seattle, Washington","Stotesbury, Drew ",Manager,"Kahuku, Hawaii",Tourism,,,,N,10/02/2012
NC20201,Standard,Twenty-first Century Hawaii PAC,"Freeman, Roosevelt L. ",Office Manager,State of Hawaii,"Gibo, John K. ",Realtor,Oahu Realty Properties,Other,,,,Y,09/10/2008
NC20319,Standard,ULP Associates Limited Partnership ,"Uyeda, Gordon K. ",Realtor,"Honolulu, Hawaii","Uyeda, Gordon K. ",Realtor,"Honolulu, Hawaii",Other,,,,Y,04/13/2012
NC20444,Standard,"Unit Dose Services, LLC","Harkins, Scott ",Owner,"Unit Dose Services, LLC","Harkins, Scott ",owner,"Unit Dose Services, LLC",Healthcare / Medical,,,,Y,05/21/2014
NC20159,Standard,UNITE HERE Local 5 PAC Fund,"Maeshiro, Godfrey T. ",Bell Help,Honolulu HI ,"Gill, Eric ",Financial Secretary Treasurer-Union,Honolulu HI ,Labor Union,,,,N,06/26/2008
NC20338,Standard,UNITE HERE TIP State and Local - Hawaii,"Taylor, Donald ",President,UNITE HERE,"Snyder, Thomas G. ",Vice President,UNITE HERE,Labor Union,,,,N,06/14/2012
NC20379,Standard,United Airlines Committee ,"Franklin, Melinda Y. ","Director of Government Affairs, Western Region",United Airlines - SFOGV,"Franklin, Melinda Y. ","Director of Government Affairs, Western Region","United Airlines, SFOGV",Transportation,,,,Y,10/26/2012
NC20289,Standard,United Coalition Against H.B. 444 ,"Calixto, Noel C. ",REALTOR,2153 N KING ST SUITE 110 HON HI 96819,"Ablan, Memito N. ",REALTOR,2153 N KING ST SUITE 110 HON HI 96819,Other,,,,Y,10/20/2010
NC20157,Standard,United Food & Commercial Workers Union Local 480,"Rulona, Gwen K. ",Secretary-Treasurer,"Honolulu, Hawaii","Rulona, Gwen K. ",Secretary-Treasurer,"Honolulu, Hawaii",Non-Profit,,,,N,09/09/2008
NC20160,Standard,"United Public Workers, AFSCME, Local 646 AFL-CIO, PAC","Wataru, James S. ",Plumber,Accounting & General Services,"Aqui, Gerald ",Forestry & Wildlife Worker  III,Land & Natural Resources,Labor Union,,,,N,06/20/2008
NC20592,Standard,UnitedHealth Group Incorporated,"Heyman, Stephen M. ",Chairman,Washington DC,"Sherwood, Susan ",Treasurer,Washington DC,Healthcare / Medical,,,,N,11/12/2015
NC20288,Standard,UnitedHealth Group Incorporated Political Action Committee,"Jacoby, Peter ","Senior Vice President, Government Affairs","Washington, DC","Sherwood, Susan H. ",Office Administrator,"Washington, DC",Healthcare / Medical,,,,Y,01/28/2011
NC20583,Standard,University Health Alliance,"Lee, Howard ",President/CEO,University Health Alliance,"Nakao, Darren ",SVP/CFO,University Health Alliance,Healthcare / Medical,,,,N,06/02/2015
NC20158,Standard,University of Hawaii Professional Assembly - PAC,"Hanselman, Kristeen ",Executive Director,"Honolulu, HI","Denton, Eric A. ",UH Faculty Member,"Honolulu, HI",Labor Union,,,,N,06/19/2008
NC20492,Standard,"UTS Bioenergy, LLC","Sharma, Arun G. ",President,"Carlsbad, CA","Sharma, Arun G. ",President,"Carlsbad, CA",Energy / Utility,,,,Y,10/07/2014
NC20258,Standard,Veritas ,"Asato, Lloyd Y. ",attorney,"Honolulu, HI","Asato, Lloyd Y. ",attorney,"Honolulu, HI",Other,,,,Y,11/14/2012
NC20602,Standard,Vulcan Inc.,"Axelrod, Jared ",Government Affairs Manager,"Seattle, WA","Paquette, Russell ",Treasurer,"Seattle, WA",Business / General Commerce,,,,N,03/30/2016
NC20161,Standard,Waikoloa Development Company,"Otake, Robert H. ",Controller,150 Waikoloa Beach Drive,"Yamasato, Myron A. ",Vice President of Finance,150 Waikoloa Beach Drive,Real Estate,,,,N,06/26/2008
NC20396,Standard,"Waimana Enterprises, Inc.","Hee, Albert ",President,"Waimana Enterprises, Inc.","Olds, Janeen-Ann ",Legal Counsel,"Waimana Enterprises, Inc.",Energy / Utility,,,,Y,10/31/2013
NC20252,Standard,"Waimana Enterprises, Inc. ","Hee, Albert S. ",Business Owner,"Honolulu, Hawaii","Olds, Janeen-Ann ",Attorney,"Honolulu, Hawaii",Energy / Utility,,,,Y,10/23/2012
NC20440,Standard,"Wainaku Ventures, LLC","Stanley, Margaret L. ",Director,Wainaku Ventures LLC,"Stanley, Margaret L. ",Director,Wainaku Ventures LLC,Business / General Commerce,,,,Y,04/28/2014
NC20540,Standard,Walgreen Co.,"Garza, Debbie B. ","Divisional Vice President, Government Relations",Illinois,"Baise, G. Joel ","Director, Government Relations",Illinois,Business / General Commerce,,,,N,10/22/2014
NC20162,Standard,Watanabe Ing LLP State PAC,"Ing, J. Douglas ",Attorney,"Honolulu, Hawaii","Kang, Brian A. ",Attorney,"Honolulu, Hawaii",Other,,,,N,06/30/2008
NC20384,Standard,WellCare Management Group Inc. ,"Baier, Bryan ",Government Affairs,"Tampa, FL","White, John David ",Government Affairs,"Tampa, FL",Healthcare / Medical,,,,Y,12/05/2012
NC20387,Standard,WellCare PAC,"Goodman, Elizabeth Cahn ",Government Affairs,"Tampa, FL","Guay, Tricia Barrentine ",Government Affairs,"Tampa, FL",Healthcare / Medical,,,,Y,04/23/2013
NC20370,Standard,Wells Fargo and Company Employee PAC (aka Wells Fargo Employee PAC),"de la Vega, Robert ",State Government Relations Manager,"Minneapolis, MN","Bjerkness, Kai C. ",Operational Risk Manager,"Minneapolis, MN",Finance,,,,N,10/03/2012
NC20271,Standard,West Hawaii Patriots,"Smith, Daryl L. ",Retired,Home,"Smith, Daryl L. ",Retired,Home,Other,,,,Y,06/18/2010
NC20278,Standard,West Oahu 2010,"Ryan, Eric S. ",graphic design + advertising,same,"Ryan, Eric S. ",graphic design + advertising,same,Other,,,,N,08/25/2010
NC20163,Standard,"Wil Chee - Planning, Inc.","Chee, Wilbert C. ",Vice President,"99-061 Koaha Way  Suite 208  Aiea, HI  96701","Chees, Wilbert C. ",Vice President,"99-061 Koaha Way  Suite 208  Aiea, HI  96701",Environment / Natural Resource,,,,N,06/30/2008
NC20432,Standard,"Wimberly Allison Tong & Goo, Inc.","Takahata, Craig ",Vice President and Managing Director,"700 Bishop Street Suite 1800, Honolulu HI 96813","Tanaka Kalani, Kelley A. ",Office Manager,"700 Bishop Street Suite 1800, Honolulu HI 96813",Architect / Engineer,,,,Y,04/22/2014
NC20377,Independent Expenditure,Workers for a Better Hawaii,"Mulligan, Kevin ",Retired,"Honolulu, Hawaii","Yap, Bennett ",union official,"Honolulu, Hawaii",Independent Expenditure,,,,N,10/22/2012
NC20487,Standard,WRNS Studio,"Warner, Jeff D. ",Architect,San Francisco,"Englund, David A. ",Chief Financial Officer,San Francisco,Architect / Engineer,,,,Y,09/29/2014
NC20553,Standard,Wyndham Vacation Ownership,"Gamel, Jason C. ",Senior Vice President,Florida,"Gamel, Jason C. ",Senior Vice President,Florida,Other,,,,N,11/14/2014
NC20415,Standard,"WZ Chinatown Partners, LLC","Ho, Thanh Bao ",OWNER,VENDING,"Ho, Thanh Bao ",OWNER,VENDING,Other,,,,Y,02/11/2014
NC20417,Standard,"WZ Wahiawa Partners, LLC","Whiting-Haraguchi, April S. ",Member,Hawaii,"Whiting-Haraguchi, April ",Member,Hawaii,Other,,,,Y,02/27/2014
NC20414,Standard,"WZ Waiakamilo Partners, LLC","Haraguchi, Glenn ",Manager,Hawaii,"Haraguchi, Glenn ",Manager,Hawaii,Other,,,,Y,02/11/2014
NC20218,Ballot Issue,Yes for Constitutional Convention ,"Fulton, James M. ",Manager,1060 Richards Street,"Wong, Sharon M. ",Accountant,46-001 Kamehameha Highway #301,Ballot Issue,,For Constitutional Convention & Change,,Y,09/09/2008
NC20549,Standard,"Young Brothers, Limited Political Action Committee","Catalani, P. Roy ","Vice President, Strategic Planning & Govt. Affairs","Young Brothers, Limited","Lagmay, Natasha ",Regulatory Analyst,"Young Brothers, Limited",Transportation,,,,N,03/05/2015
NC20532,Standard,ZIC PAC,"Toyama, Richard ",President/CEO,"Zephyr Insurance Company, Inc.","Ogata, Amori ",VP/COO & CFO,"Zephyr Insurance Company, Inc.",Insurance,,,,N,10/14/2014
NC20292,Standard,ZIC PAC ,"Toyama, Richard ",President & CEO,"Zephyr Insurance Company, Inc.","Ogata, Amori ",Executive VP/CFO & COO,"Zephyr Insurance Company, Inc.",Insurance,,,,Y,10/28/2010
